delta,N,a,a_std,b,b_std,gamma,gamma_std,delta_fit,delta_fit_std,r_fit
0,4736,1.4837563691297238,0.03952290050915443,0.9932693404426053,0.04307069258793553,122.75910941195653,3.476011974490166,0.002433,0.024913,7.512721532154909
5,4633,1.4851620843646554,0.03910480152466162,0.9929106646498252,0.042301071351216635,122.9324231588853,3.498426072712915,5.232044,0.012019,7.347592556436677
10,4710,1.4859103566525804,0.038222087646700584,0.9929553100114014,0.042109396076300154,123.10053418674327,3.428121359920525,9.956327,0.027865,7.472382064684463
15,4668,1.4873622704832998,0.03648601376162779,0.9924549368619796,0.0399842773910113,123.25543565728425,3.2819880097803624,15.070876,0.032396,7.430156231232477
20,4668,1.486475759219781,0.03616326301262771,0.992802952179219,0.03992317036913917,123.38188203107892,3.300743517272884,20.297965,0.050205,7.421932768914485
25,4590,1.489023383837407,0.03432287685336626,0.9919262402241658,0.03792269120221145,123.58989909763802,3.1662975135060685,24.97108,0.059541,7.314226589384081
30,4665,1.4901599225147952,0.033762440675640146,0.991936690914247,0.038604563452988856,123.70093776279998,3.094258087870262,30.12543,0.085433,7.435346392666478
35,4654,1.4901831699374362,0.03165476821619348,0.9921874383983478,0.03717068142944138,123.71196464809191,3.0071636874258876,34.975639,0.111563,7.416702158536965
40,4675,1.4907714621118033,0.03330997877981797,0.9918930703203256,0.038547343793070385,123.74310995535086,3.018972241010366,39.788901,0.148269,7.452754688648667
45,4730,1.4914545040256042,0.03347377186404804,0.9930388373633688,0.038285003640552796,123.77391247059514,3.0663099167168335,44.540579,0.126064,7.539849012418378
50,4694,1.490751065030496,0.03184969408977114,0.9931209164501962,0.03842539550382669,123.74092460824562,2.9801938587398267,49.393739,0.190303,7.48222212498743
55,4728,1.4896506218389203,0.032554209897246084,0.9926562970827594,0.03810205861520873,123.64016778428534,3.043870503628956,55.381704,0.129248,7.534906425508912
60,4765,1.4915015163828245,0.0308478058420423,0.993470381466912,0.03966145124324321,123.58644541813518,2.9789448431063694,60.115334,0.174812,7.6076853240592355
65,4836,1.4927226761771135,0.030431856631510185,0.9931226203606998,0.04004210210232328,123.57944555789949,3.0877606371157693,64.700822,0.238062,7.720330838256111
70,4664,1.4905289054978894,0.03139204162476354,0.9944152777095625,0.04143607584837717,123.45135984101378,3.126374099807183,69.762588,0.18671,7.451642892564851
75,4696,1.489938432333977,0.031473480635535345,0.9951315120364899,0.04243539968680575,123.38801441823466,3.1454325678403436,75.057252,0.300991,7.511714653946951
80,4698,1.4869288444139428,0.03235326589180447,0.9955327243564905,0.04462153864515826,123.25039931401187,3.256951684848308,79.487542,0.192739,7.520037731812716
85,4641,1.4876226102733106,0.03326042885655099,0.9953033626358309,0.04608076023929836,123.11023067675426,3.2810418495674463,84.575528,0.206863,7.428208695803418
90,4784,1.4854175868466186,0.033258844936260266,0.9966021776634865,0.047076690563808185,122.96431811817267,3.45110658082931,88.543487,2.270659,7.657648720145931
95,4718,1.4878831460891828,0.03492084229395857,0.9958990238816131,0.046639567561515674,122.98450485121083,3.4774260005717705,94.977168,0.211755,7.543522355209337
100,4776,1.486522011232133,0.035566087823385904,0.996646941323331,0.047786506848282125,122.89684550756704,3.544645619056955,99.833518,0.391064,7.637048781310218
105,4781,1.4840448217166153,0.03561737665302944,0.9972895173096196,0.05103281540820028,122.61679102110321,3.5467348522004993,104.457555,0.183633,7.645441702463995
110,4914,1.4849147687289384,0.03538361830023751,0.997054632044595,0.04685938690392195,122.78575632896563,3.558104744441427,109.518507,0.268826,7.842961131813314
115,4563,1.4811848080954555,0.03712353344289377,0.9991380155258565,0.0536167505337298,122.19947244834933,3.8242762953917495,114.273083,0.524584,7.270698796369379
120,4868,1.4813784644674737,0.03867963977858162,0.9977054532245179,0.05465804412955899,122.00083155289393,3.8951723590715415,119.209392,0.462715,7.71483039159037
125,4992,1.4835998435578077,0.03879813185666968,0.9961455755412327,0.0513547670682495,122.22537512948585,3.8729941864948096,125.104288,0.418495,7.896704805509665
130,4972,1.4830136902989732,0.03762806011839257,0.9965032067586453,0.05073047390356577,122.12953250340672,3.847319074494702,129.348994,0.38467,7.859203572223851
135,4592,1.4838020037155735,0.03815359615784076,0.996392975163035,0.04920682587375122,122.1303719478183,3.878901627168201,134.533133,0.176234,7.261400183423346
140,4540,1.4842147409145356,0.03976939047867172,0.9948922715714846,0.048152981046125594,121.9744781119723,4.084376514146792,139.460961,0.274746,7.146738293357066
145,4822,1.4863819944096517,0.03725275884151904,0.9939535670878696,0.04841091181573386,121.9519040599416,4.065397418918649,144.734094,0.131412,7.592999853045618
150,4834,1.4842130796333126,0.03688955251994287,0.99372766484905,0.046457156124984626,122.10284271364718,3.919457801679146,149.469596,0.105151,7.610795359135978
155,4795,1.4858717608050969,0.036615864453139295,0.9932161491523823,0.0455398500566517,122.20159312389386,3.879845110905974,154.791462,0.059584,7.554449933072491
160,4798,1.4843141875845216,0.037697715876510315,0.994795830457349,0.04527906838094692,122.26866065886024,3.860769222716392,160.05547,0.049785,7.568711584216092
165,4695,1.4841375261582777,0.038835601751064854,0.9938477212114828,0.04581198588246292,122.2295157419915,3.8803552372719867,164.865342,0.028185,7.410825068135194
170,4626,1.4840106533922977,0.03935255262055148,0.9938410753945562,0.04554803974793445,122.33256800121683,3.802104804406447,169.833297,0.026795,7.316575088833684
175,4745,1.4849222839881284,0.03943183296324264,0.9935665606652054,0.043770510499657654,122.64698973952723,3.6213584434876607,174.908193,0.025627,7.51139765377359
